loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type
L000138,0.0,2018-01,2018-01,1.0,,219000.0,218391.66666666666,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,,Current,0.0,,0.0,0.0,,2026-08-25T20:24:23.806103,,Complete,0,0,0,0,Current,0,None
L000138,1.0,2018-02,2018-01,2.0,358.0,219000.0,217783.3333333333,3.62,700-739,71-80,>50,VA,Refinance,Investment,,Servicer_A,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.806165,SystemB,Complete,0,0,1,0,30DPD,0,None
L000138,2.0,2018-03,2018-01,3.0,,219000.0,217174.99999999997,3.62,,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_C,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.806212,SystemA,Under Review,1,0,0,0,Current,0,None
L000138,3.0,2018-04,2018-01,4.0,,219000.0,216566.66666666663,3.62,700-739,,>50,VA,Refinance,Investment,2-4 Unit,Servicer_D,Current,0.0,0.0,,0.0,None,2026-08-25T20:24:23.806254,SystemB,Partial,0,0,0,0,Current,0,None
L000138,4.0,2018-05,2018-01,5.0,355.0,219000.0,215958.33333333328,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,,30DPD,30.0,0.0,,0.0,None,2026-08-25T20:24:23.806293,SystemA,Partial,1,1,1,0,30DPD,0,None
L000138,5.0,2018-06,2018-01,6.0,354.0,219000.0,215349.99999999994,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_B,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.806330,SystemB,Missing,1,1,0,0,30DPD,0,None
L000138,6.0,2018-07,2018-01,7.0,353.0,219000.0,214741.6666666666,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_A,Prepaid,0.0,0.0,1.0,0.0,None,2026-08-25T20:24:23.806368,SystemB,Under Review,1,1,1,0,Prepaid,0,None
L000138,7.0,2018-08,2018-01,8.0,352.0,219000.0,214133.33333333326,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_B,Prepaid,0.0,0.0,1.0,0.0,None,2026-08-25T20:24:23.806403,SystemA,Complete,1,1,1,0,Prepaid,0,None
L000138,8.0,2018-09,2018-01,9.0,351.0,219000.0,213524.9999999999,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_A,,0.0,0.0,1.0,0.0,None,2026-08-25T20:24:23.806477,SystemA,Partial,1,1,1,0,Prepaid,1,Document_Gap
L000138,9.0,2018-10,2018-01,10.0,350.0,219000.0,212916.66666666657,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_D,,0.0,,1.0,0.0,None,2026-08-25T20:24:23.806524,SystemA,Partial,1,1,1,0,Prepaid,0,None
L000138,10.0,2018-11,2018-01,11.0,349.0,219000.0,212308.33333333323,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_A,,0.0,,1.0,0.0,None,2026-08-25T20:24:23.806561,SystemB,Missing,1,1,1,0,Prepaid,0,None
L000138,11.0,2018-12,2018-01,12.0,348.0,219000.0,211699.99999999988,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,,Prepaid,0.0,,1.0,,None,2026-08-25T20:24:23.806600,SystemB,Partial,1,1,1,0,Prepaid,0,None
L000138,12.0,2019-01,2018-01,13.0,,219000.0,211091.66666666654,,700-739,71-80,>50,VA,Refinance,,2-4 Unit,Servicer_A,Prepaid,0.0,,1.0,0.0,None,2026-08-25T20:24:23.806638,SystemB,Complete,1,1,1,0,Prepaid,0,None
L000138,13.0,2019-02,2018-01,14.0,346.0,,210483.3333333332,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_B,Prepaid,0.0,0.0,1.0,0.0,None,,SystemA,Complete,1,1,1,0,Prepaid,0,None
L000138,14.0,2019-03,2018-01,15.0,345.0,219000.0,209874.99999999985,3.62,700-739,71-80,,VA,Refinance,Investment,2-4 Unit,Servicer_C,Prepaid,0.0,1.0,1.0,0.0,None,2026-08-25T20:24:23.806716,SystemB,Missing,1,1,1,0,Prepaid,0,None
