loan_id,update_date,field_updated,old_value,new_value,servicer_name,source_system
L000331,2026-06-12,interest_rate,132723,154426,Servicer_D,SystemA
L000042,2026-08-21,interest_rate,156384,187331,Servicer_A,SystemB
L000474,2026-07-19,interest_rate,166740,98022,Servicer_B,SystemA
L000066,2026-06-13,current_balance,109441,106667,Servicer_D,SystemB
L000497,2026-06-16,current_status,117373,126340,Servicer_A,SystemA
L000291,2026-06-07,interest_rate,196388,143361,Servicer_D,SystemA
L000478,2026-05-31,current_balance,163697,184988,Servicer_A,SystemA
L000337,2026-08-10,current_balance,107841,148189,Servicer_C,SystemB
L000010,2026-07-16,interest_rate,123404,126053,Servicer_D,SystemB
L000158,2026-06-02,current_status,180458,185117,Servicer_B,SystemA
L000214,2026-07-20,current_status,167429,144065,Servicer_D,SystemB
L000096,2026-06-21,interest_rate,131339,149605,Servicer_B,SystemA
L000460,2026-06-12,current_balance,122139,153190,Servicer_A,SystemA
L000493,2026-06-16,current_balance,194184,115218,Servicer_A,SystemA
L000080,2026-05-31,current_balance,135216,150320,Servicer_D,SystemB
L000104,2026-07-13,interest_rate,138765,99334,Servicer_A,SystemB
L000083,2026-06-20,interest_rate,191793,151679,Servicer_C,SystemA
L000098,2026-06-07,interest_rate,184252,131397,Servicer_D,SystemA
L000044,2026-06-04,current_status,175961,131178,Servicer_D,SystemA
L000008,2026-05-27,interest_rate,142819,189167,Servicer_B,SystemB
L000146,2026-06-05,current_balance,196847,94991,Servicer_D,SystemA
L000489,2026-07-07,interest_rate,157097,158303,Servicer_C,SystemA
L000264,2026-07-17,interest_rate,109403,166721,Servicer_D,SystemA
L000198,2026-07-05,interest_rate,159594,147236,Servicer_B,SystemB
L000250,2026-08-17,interest_rate,185670,135466,Servicer_D,SystemB
L000147,2026-06-17,current_balance,191812,182434,Servicer_D,SystemB
L000154,2026-05-24,interest_rate,144889,150226,Servicer_B,SystemA
L000239,2026-08-11,current_status,156344,97952,Servicer_A,SystemA
L000274,2026-07-11,interest_rate,110490,133127,Servicer_C,SystemB
L000457,2026-08-09,interest_rate,102164,166840,Servicer_C,SystemA
L000249,2026-08-20,interest_rate,129366,103568,Servicer_B,SystemA
L000245,2026-07-07,current_status,109042,136432,Servicer_A,SystemA
L000375,2026-08-05,current_status,155074,170490,Servicer_B,SystemA
L000231,2026-08-18,interest_rate,198041,138027,Servicer_C,SystemA
L000403,2026-05-28,interest_rate,113487,98970,Servicer_D,SystemB
L000380,2026-08-24,current_balance,115761,127608,Servicer_C,SystemB
L000109,2026-05-28,interest_rate,185931,134313,Servicer_D,SystemA
L000177,2026-05-29,current_balance,108140,165273,Servicer_B,SystemA
L000032,2026-08-15,current_status,199104,101177,Servicer_D,SystemA
L000236,2026-07-09,current_balance,171138,117434,Servicer_C,SystemA
L000250,2026-07-12,interest_rate,196249,186750,Servicer_D,SystemA
L000110,2026-07-11,current_balance,124965,90504,Servicer_A,SystemB
L000281,2026-07-12,current_status,123065,90805,Servicer_A,SystemB
L000362,2026-06-26,current_status,114415,183425,Servicer_D,SystemB
L000120,2026-06-19,current_balance,113324,171312,Servicer_A,SystemA
L000029,2026-05-26,interest_rate,121340,168509,Servicer_C,SystemA
L000103,2026-08-02,current_balance,168966,139724,Servicer_D,SystemA
L000080,2026-08-15,interest_rate,126397,163005,Servicer_D,SystemB
L000321,2026-05-30,interest_rate,148502,160414,Servicer_D,SystemA
L000355,2026-08-09,interest_rate,164278,110070,Servicer_B,SystemA
L000170,2026-07-13,interest_rate,116324,189226,Servicer_C,SystemA
L000426,2026-07-24,current_status,157324,164093,Servicer_B,SystemA
L000007,2026-06-30,interest_rate,113545,102569,Servicer_A,SystemA
L000432,2026-06-15,interest_rate,118898,145635,Servicer_A,SystemA
L000265,2026-08-23,current_balance,101250,115771,Servicer_B,SystemB
L000080,2026-06-30,interest_rate,123924,113897,Servicer_C,SystemA
L000428,2026-07-12,interest_rate,151234,110739,Servicer_B,SystemA
L000388,2026-06-07,current_balance,194945,154610,Servicer_C,SystemB
L000400,2026-06-08,current_status,130491,106094,Servicer_B,SystemB
L000398,2026-08-01,current_balance,106633,156132,Servicer_C,SystemA
L000227,2026-05-28,current_balance,154262,142659,Servicer_B,SystemA
L000050,2026-08-10,interest_rate,186657,122327,Servicer_D,SystemA
L000129,2026-06-25,current_balance,143118,188765,Servicer_B,SystemA
L000472,2026-06-19,interest_rate,160640,91202,Servicer_D,SystemA
L000255,2026-08-01,interest_rate,102688,170943,Servicer_C,SystemA
L000106,2026-08-03,current_balance,188309,158192,Servicer_C,SystemA
L000329,2026-05-30,interest_rate,183130,118902,Servicer_C,SystemB
L000103,2026-07-02,current_status,103182,183553,Servicer_B,SystemB
L000360,2026-06-14,current_balance,174718,100328,Servicer_C,SystemA
L000373,2026-07-03,current_balance,145734,104858,Servicer_A,SystemA
L000485,2026-06-25,current_balance,186789,139378,Servicer_D,SystemA
L000032,2026-05-23,interest_rate,152622,182549,Servicer_D,SystemA
L000497,2026-06-21,current_status,116191,170046,Servicer_A,SystemA
L000362,2026-07-05,interest_rate,181663,93466,Servicer_D,SystemB
L000399,2026-06-23,interest_rate,178709,178680,Servicer_C,SystemB
L000470,2026-06-20,interest_rate,164170,145912,Servicer_A,SystemB
L000403,2026-07-26,current_balance,177520,175246,Servicer_C,SystemA
L000441,2026-05-27,current_balance,195692,180258,Servicer_A,SystemB
L000220,2026-06-13,interest_rate,102333,147308,Servicer_D,SystemB
L000072,2026-06-28,interest_rate,123919,187775,Servicer_A,SystemB
L000259,2026-08-19,interest_rate,109221,175046,Servicer_A,SystemB
L000182,2026-05-23,current_status,128299,113401,Servicer_D,SystemB
L000124,2026-08-15,current_status,141927,98077,Servicer_A,SystemB
L000408,2026-08-19,current_balance,105631,106129,Servicer_C,SystemB
L000111,2026-06-19,interest_rate,178855,182204,Servicer_B,SystemA
L000185,2026-06-17,current_status,171310,141564,Servicer_C,SystemA
L000199,2026-06-13,current_status,117260,95555,Servicer_A,SystemA
L000280,2026-06-22,current_balance,171807,102527,Servicer_A,SystemA
L000279,2026-08-11,interest_rate,132642,174149,Servicer_D,SystemB
L000069,2026-08-14,current_balance,153959,161904,Servicer_C,SystemA
L000441,2026-06-27,interest_rate,186502,165920,Servicer_B,SystemA
L000074,2026-07-07,current_balance,128393,142878,Servicer_C,SystemB
L000338,2026-08-07,current_status,128192,181309,Servicer_D,SystemA
L000327,2026-08-13,current_balance,166416,90849,Servicer_B,SystemB
L000176,2026-07-22,interest_rate,197887,110610,Servicer_D,SystemA
L000180,2026-07-27,current_balance,184265,153952,Servicer_C,SystemA
L000338,2026-06-20,interest_rate,111984,155811,Servicer_B,SystemA
L000219,2026-08-04,current_status,136730,136980,Servicer_C,SystemB
L000273,2026-07-24,current_status,110627,173827,Servicer_D,SystemB
L000156,2026-07-10,interest_rate,113809,124264,Servicer_C,SystemA
L000163,2026-05-31,current_status,138652,124058,Servicer_A,SystemA
L000258,2026-08-05,current_status,167964,108350,Servicer_C,SystemB
L000076,2026-05-21,interest_rate,112684,142589,Servicer_A,SystemB
L000244,2026-05-23,current_status,172483,93175,Servicer_A,SystemB
L000356,2026-07-26,current_status,171447,100635,Servicer_A,SystemB
L000190,2026-08-18,current_balance,159470,153650,Servicer_A,SystemA
L000080,2026-06-25,current_status,195720,163486,Servicer_A,SystemA
L000359,2026-06-30,interest_rate,198735,154867,Servicer_B,SystemA
L000277,2026-07-16,interest_rate,106859,117173,Servicer_D,SystemA
L000037,2026-07-08,current_balance,158279,117684,Servicer_D,SystemB
L000014,2026-05-23,interest_rate,154639,140234,Servicer_B,SystemB
L000443,2026-06-07,interest_rate,186202,169603,Servicer_C,SystemA
L000473,2026-07-29,current_status,103828,169131,Servicer_D,SystemA
L000335,2026-08-23,interest_rate,170185,104439,Servicer_D,SystemB
L000027,2026-07-07,current_status,153096,127809,Servicer_D,SystemB
L000466,2026-06-16,current_balance,129239,137037,Servicer_C,SystemA
L000022,2026-07-09,current_status,145617,189678,Servicer_B,SystemB
L000059,2026-06-04,current_status,144722,111467,Servicer_D,SystemB
L000394,2026-06-02,current_status,130906,109532,Servicer_C,SystemA
L000088,2026-06-27,current_status,140998,99279,Servicer_D,SystemA
L000087,2026-05-29,current_balance,105940,149359,Servicer_C,SystemB
L000109,2026-07-25,current_status,157601,109816,Servicer_A,SystemB
L000001,2026-07-10,current_balance,142131,113098,Servicer_C,SystemB
L000254,2026-06-09,current_balance,166434,172651,Servicer_B,SystemA
L000182,2026-06-24,current_balance,129644,138287,Servicer_D,SystemB
L000032,2026-08-10,interest_rate,167141,140136,Servicer_A,SystemB
L000132,2026-07-17,current_balance,119471,94807,Servicer_B,SystemA
L000325,2026-07-06,interest_rate,114679,172350,Servicer_D,SystemB
L000137,2026-07-21,current_status,141324,171770,Servicer_D,SystemB
L000294,2026-06-25,current_status,157414,158809,Servicer_D,SystemA
L000133,2026-07-25,current_status,152091,169625,Servicer_D,SystemB
L000345,2026-08-09,interest_rate,139258,98828,Servicer_A,SystemA
L000021,2026-05-29,interest_rate,174127,92693,Servicer_A,SystemA
L000005,2026-07-13,current_status,177071,137839,Servicer_C,SystemB
L000483,2026-07-30,interest_rate,131362,121645,Servicer_D,SystemB
L000498,2026-06-07,interest_rate,185526,135606,Servicer_B,SystemA
L000194,2026-05-18,current_status,151753,116688,Servicer_A,SystemA
L000372,2026-05-30,interest_rate,105498,175261,Servicer_D,SystemB
L000464,2026-07-15,current_balance,198764,146261,Servicer_C,SystemB
L000489,2026-07-12,interest_rate,140323,123365,Servicer_A,SystemB
L000136,2026-08-21,current_balance,126553,165344,Servicer_C,SystemA
L000144,2026-07-13,current_status,166347,115295,Servicer_D,SystemB
L000281,2026-07-12,current_status,103294,177518,Servicer_D,SystemA
L000124,2026-06-28,current_balance,193524,189911,Servicer_D,SystemA
L000293,2026-06-11,current_status,101771,177571,Servicer_B,SystemA
L000086,2026-07-26,current_balance,154995,182428,Servicer_B,SystemB
L000074,2026-08-15,current_status,198962,146526,Servicer_D,SystemB
L000245,2026-07-27,interest_rate,154988,135212,Servicer_C,SystemB
L000242,2026-08-19,current_status,197879,175070,Servicer_A,SystemB
L000257,2026-05-24,current_status,162608,144040,Servicer_B,SystemA
L000164,2026-07-30,interest_rate,166361,138414,Servicer_C,SystemB
L000248,2026-08-11,current_status,172873,91299,Servicer_B,SystemB
L000170,2026-08-09,current_balance,180002,104515,Servicer_A,SystemA
L000002,2026-06-11,current_status,136749,102242,Servicer_C,SystemB
L000419,2026-05-29,interest_rate,165670,124237,Servicer_B,SystemA
L000255,2026-08-02,current_status,132991,125966,Servicer_A,SystemA
L000393,2026-05-19,interest_rate,140767,115612,Servicer_D,SystemA
L000347,2026-05-30,current_status,183069,121146,Servicer_A,SystemB
L000023,2026-05-28,current_balance,161920,162445,Servicer_A,SystemB
L000376,2026-06-01,current_status,104607,144850,Servicer_C,SystemA
L000043,2026-05-19,current_balance,105428,119598,Servicer_B,SystemB
L000337,2026-08-08,current_balance,194893,106692,Servicer_C,SystemB
L000401,2026-05-26,interest_rate,168061,118795,Servicer_A,SystemA
L000227,2026-05-28,current_status,127542,125014,Servicer_B,SystemB
L000448,2026-07-26,current_balance,176264,125285,Servicer_C,SystemB
L000249,2026-08-17,current_balance,169733,181630,Servicer_C,SystemA
L000306,2026-06-15,interest_rate,172890,123202,Servicer_D,SystemA
L000285,2026-07-29,current_balance,110578,169447,Servicer_C,SystemB
L000099,2026-06-05,interest_rate,183856,128922,Servicer_D,SystemA
L000298,2026-07-20,interest_rate,176720,113679,Servicer_C,SystemA
L000146,2026-07-08,current_status,191578,167618,Servicer_A,SystemA
L000327,2026-06-03,current_balance,125122,108544,Servicer_D,SystemB
L000317,2026-08-20,current_balance,174353,154541,Servicer_C,SystemB
L000389,2026-07-30,current_balance,170725,171067,Servicer_C,SystemB
L000072,2026-08-09,interest_rate,132199,150784,Servicer_A,SystemB
L000117,2026-08-12,current_balance,112446,133119,Servicer_B,SystemB
L000467,2026-05-27,current_balance,101979,177373,Servicer_A,SystemB
L000424,2026-06-01,current_status,153477,127217,Servicer_B,SystemA
L000099,2026-07-01,current_balance,106792,115924,Servicer_C,SystemB
L000138,2026-07-15,interest_rate,190836,131201,Servicer_C,SystemA
L000022,2026-08-03,interest_rate,123724,103928,Servicer_D,SystemB
L000043,2026-07-20,current_status,181333,163616,Servicer_D,SystemA
L000163,2026-08-01,current_balance,159310,143672,Servicer_A,SystemB
L000442,2026-08-02,current_status,115065,154405,Servicer_A,SystemA
L000429,2026-08-18,current_status,115749,122449,Servicer_D,SystemA
L000230,2026-07-14,current_balance,148293,177144,Servicer_D,SystemA
L000252,2026-06-18,current_status,175712,164401,Servicer_D,SystemB
L000266,2026-08-11,current_status,197532,132817,Servicer_A,SystemB
L000495,2026-05-25,interest_rate,101607,178859,Servicer_B,SystemA
L000366,2026-07-28,interest_rate,122239,95032,Servicer_B,SystemA
L000314,2026-07-07,current_balance,154549,158780,Servicer_C,SystemA
L000207,2026-05-24,current_balance,182732,177034,Servicer_A,SystemA
L000358,2026-08-09,current_balance,187629,132662,Servicer_D,SystemB
L000030,2026-07-25,interest_rate,194810,161947,Servicer_C,SystemA
L000089,2026-08-18,current_balance,162201,167730,Servicer_B,SystemB
L000133,2026-06-23,current_status,132749,127443,Servicer_A,SystemA
L000098,2026-08-20,interest_rate,124748,117151,Servicer_A,SystemA
L000089,2026-06-05,current_status,199403,115830,Servicer_A,SystemB
L000185,2026-07-05,current_balance,131192,121464,Servicer_A,SystemB
L000255,2026-06-11,current_status,107243,168216,Servicer_C,SystemB
L000384,2026-06-28,current_status,188794,116181,Servicer_D,SystemB
L000433,2026-08-06,current_balance,152888,139490,Servicer_B,SystemA
L000173,2026-07-05,interest_rate,184785,155571,Servicer_C,SystemB
L000212,2026-07-25,current_status,134899,178904,Servicer_C,SystemA
L000191,2026-05-30,interest_rate,110123,169055,Servicer_D,SystemB
L000107,2026-07-13,interest_rate,153596,115496,Servicer_A,SystemA
L000409,2026-07-27,interest_rate,191126,112308,Servicer_B,SystemB
L000089,2026-08-13,current_status,133655,154738,Servicer_C,SystemB
L000012,2026-06-01,current_status,171794,116470,Servicer_B,SystemB
L000487,2026-06-20,current_status,114926,162320,Servicer_C,SystemB
L000139,2026-07-24,interest_rate,187743,150345,Servicer_C,SystemB
L000065,2026-08-04,current_balance,136912,123774,Servicer_A,SystemA
L000186,2026-06-14,current_balance,176882,130937,Servicer_C,SystemB
L000396,2026-06-29,current_status,112655,135193,Servicer_A,SystemA
L000220,2026-07-29,current_status,133960,99038,Servicer_A,SystemA
L000393,2026-07-31,interest_rate,189538,102160,Servicer_B,SystemA
L000470,2026-06-13,current_status,113115,186938,Servicer_D,SystemB
L000198,2026-07-14,interest_rate,132029,157515,Servicer_C,SystemA
L000190,2026-08-09,interest_rate,128246,129318,Servicer_C,SystemB
L000187,2026-06-11,interest_rate,173735,112258,Servicer_B,SystemB
L000124,2026-08-10,current_status,158406,112803,Servicer_B,SystemB
L000195,2026-08-18,current_status,144908,108489,Servicer_C,SystemB
L000053,2026-05-19,current_balance,106679,159213,Servicer_A,SystemB
L000115,2026-08-12,current_status,189232,110448,Servicer_A,SystemB
L000482,2026-08-05,current_balance,166812,183798,Servicer_C,SystemA
L000431,2026-06-29,current_status,160096,153847,Servicer_D,SystemA
L000083,2026-05-23,current_balance,104878,91904,Servicer_B,SystemA
L000372,2026-06-18,interest_rate,150213,124474,Servicer_A,SystemA
L000296,2026-06-29,current_status,183723,96504,Servicer_C,SystemB
L000080,2026-07-08,current_balance,131547,133816,Servicer_A,SystemA
L000456,2026-08-19,current_status,142519,121640,Servicer_B,SystemB
L000160,2026-06-12,current_status,161783,108038,Servicer_C,SystemB
L000164,2026-08-11,current_balance,192067,103506,Servicer_A,SystemB
L000006,2026-05-29,current_status,105398,134909,Servicer_D,SystemB
L000415,2026-06-05,current_status,143604,173902,Servicer_B,SystemB
L000156,2026-07-27,interest_rate,152391,175570,Servicer_C,SystemB
L000343,2026-08-21,current_status,115017,110141,Servicer_B,SystemB
L000306,2026-06-29,interest_rate,145836,177629,Servicer_A,SystemB
L000030,2026-06-01,current_status,162917,157535,Servicer_A,SystemA
L000336,2026-06-17,current_status,198762,176588,Servicer_C,SystemB
